Puesto,Ciudad,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
,"Nairobi, Kenia",4398,2046,3554,3902,3242,3422,2011
,"Manila, Filipinas",4329,1074,3160,3238,1846,3140,2011
,"Cebú, Filipinas",4124,770,2920,3931,1599,5487,2011
,"Ciudad Quezón, Filipinas",4117,1368,3130,3552,2391,3180,2011
,"Gurgaon, India",3904,1126,2907,3096,1957,7121,2011
,"La Paz, Bolivia",3900,1661,3096,2592,2800,5892,2011
,"Ahmedabad, India",3703,546,2569,4414,2177,3858,2011
,"Lahore, Pakistán",3700,773,2649,3279,2486,2602,2011
,"Delhi, India",3682,1212,2795,3259,2226,6475,2011
,"Changchun, China",3400,520,2366,3794,1522,3680,2011
,"Davao, Filipinas",3316,1093,2518,3188,1796,5033,2011
,"Bangalore, India",3295,1105,2509,3027,1862,6309,2011
,"Karachi, Pakistán",3289,540,2302,2261,2219,4194,2011
,"Calcuta, India",3243,1318,2552,3125,2205,4350,2011
,"Islamabad, Pakistán",3208,1036,2428,3411,1570,1614,2011
,"Hyderabad, India",3204,801,2341,2899,1750,6015,2011
,"Bombay, India",3165,1948,2728,2949,2350,6180,2011
,"Chennai, India",3133,938,2345,2867,1932,6502,2011
,"Pune, India",2904,1006,2223,2812,1770,7099,2011
,"Coimbatore, India",2848,626,2050,2696,1519,5891,2011
,"Trondheim, Noruega",18891,5916,14221,19394,16023,6701,2012
,"Stavanger, Noruega",17132,7808,13776,14774,20116,7850,2012
,"Zúrich, Suiza",15284,7458,12467,14370,13879,14277,2012
,"Oslo, Noruega",15203,5740,11797,13922,15575,9931,2012
,"Ginebra, Suiza",14624,7905,12206,13895,13525,11554,2012
,"Berna, Suiza",14244,5744,11185,12678,10359,14928,2012
,"Lucerna, Suiza",13994,7245,11565,14652,9572,10565,2012
,"Perth, Australia",13963,4376,10513,11313,13161,12508,2012
,"Bergen, Noruega",13879,5598,10898,13546,13023,9702,2012
,"Tokio, Japón",13523,9543,12091,12042,9168,9014,2012
,"Sídney, Australia",13239,8625,11579,12111,11098,9723,2012
,"Adelaida, Australia",12960,4730,9998,12068,12144,11219,2012
,"Mónaco, Mónaco",12815,17308,14432,8980,13814,6230,2012
,"Copenhague, Dinamarca",12382,4865,9677,10425,13911,9743,2012
,"Edimburgo, Reino Unido",12252,3821,9218,9292,14302,9508,2012
,"Melbourne, Australia",12153,6437,10096,11250,10237,8781,2012
,"Dublín, Irlanda",11956,4830,9391,10996,11319,9354,2012
,"Londres, Reino Unido",11852,8734,10730,9259,11754,8858,2012
,"Aarhus, Dinamarca",11596,6590,9794,9468,13205,7397,2012
,"Canberra, Australia",11589,5355,9345,10677,9430,11591,2012
,"Brisbane, Australia",11470,5719,9400,11364,10133,10049,2012
,"París, Francia",11388,6347,9573,9593,11289,8249,2012
,"Malmo, Suecia",11289,3845,8610,9255,12979,9670,2012
